Velocity field t=5s			
x (m)	y (m)	u (m/s)	v (m/s)
2.43	-1.82	0.004919583	-0.005219428
3.39	-1.82	-0.000238981	-0.000540979
1.95	-1.78	-3.09496E-05	-0.000170314
2.19	-1.78	0.64690997	0.36623484
2.25	-1.78	0.77058781	0.31015651
2.31	-1.78	0.59321297	0.12644597
2.37	-1.78	0.41583813	-0.057264562
2.43	-1.78	0.17713419	-0.019501479
2.49	-1.78	0.66465566	-0.008327766
2.55	-1.78	0.43167545	0.046413863
2.61	-1.78	0.013284549	0.003688925
2.67	-1.78	0.5162373	0.06579781
2.73	-1.78	0.61042662	-0.017135307
2.79	-1.78	0.55501575	0.17271069
3.21	-1.78	0.016252612	0.009748023
3.27	-1.78	-0.002749972	0.007493244
3.33	-1.78	-0.000140673	8.13981E-05
3.39	-1.78	-0.00056443	-0.001143296
5.31	-1.78	0.00729539	-0.008561873
2.13	-1.74	0.6687994	-0.010660669
2.19	-1.74	0.61043858	0.12516653
2.25	-1.74	0.55144181	0.11565978
2.31	-1.74	0.59689749	0.12347796
2.37	-1.74	0.65454208	-0.095027644
2.43	-1.74	0.63138952	-0.073715123
2.49	-1.74	0.70875192	-0.078086295
2.55	-1.74	0.61072918	0.130266
2.61	-1.74	0.13077664	0.024701648
2.67	-1.74	0.5821494	0.093004705
2.73	-1.74	0.54023172	0.16770484
2.79	-1.74	0.44338828	0.18595675
2.85	-1.74	0.65505034	0.07164851
2.91	-1.74	0.94081502	-0.15765561
2.97	-1.74	1.001523	-0.099677739
3.03	-1.74	1.026312	-0.025417271
3.09	-1.74	0.97136727	0.004697534
3.15	-1.74	1.0789139	-0.038143786
3.21	-1.74	0.11184527	0.00710925
3.27	-1.74	-0.002678762	0.005341056
3.33	-1.74	-0.00057355	0.003393638
3.39	-1.74	-0.041886649	0.025258311
3.63	-1.74	3.08651E-05	-0.000110937
5.19	-1.74	0.001223365	0.001454838
5.25	-1.74	0.078287076	0.003297436
5.31	-1.74	0.038291765	0.000195895
5.37	-1.74	0.02498912	-0.003825462
5.61	-1.74	0.21976434	-0.10187636
5.67	-1.74	0.23691873	-0.13049049
2.19	-1.7	0.68551004	-0.031600368
2.25	-1.7	0.65188668	-0.032401725
2.31	-1.7	0.31513134	0.14863392
2.37	-1.7	0.32341832	-0.19959142
2.43	-1.7	0.50349154	0.036862229
2.49	-1.7	0.31682709	0.15199726
2.55	-1.7	0.21510226	-0.010967676
2.61	-1.7	0.2944799	0.13370063
2.67	-1.7	0.58443914	0.16271541
2.73	-1.7	0.58439007	0.21585316
2.79	-1.7	0.61239469	0.18069498
2.85	-1.7	0.46551655	0.22405425
2.91	-1.7	0.67621008	0.045935758
2.97	-1.7	0.83951975	-0.11641008
3.03	-1.7	0.84103868	-0.16994896
3.09	-1.7	1.060957	-0.21637976
3.15	-1.7	0.89308071	-0.11202684
3.21	-1.7	0.43724083	-0.036197152
